,id,ad_delivery_start_time,ad_delivery_stop_time,ad_snapshot_url,bylines,delivery_by_region,demographic_distribution,publisher_platforms,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,page_name,page_id,impressions.lower_bound,impressions.upper_bound,spend.lower_bound,spend.upper_bound,ad_start_month,ad_start_year
4277,621767042624969,2022-07-15,999,https://www.facebook.com/ads/archive/render_ad/?id=621767042624969&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '1', 'region': 'Michigan'}]","[{'percentage': '0.001807', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.119438', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.001186', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001864', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001694', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.110684', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.071493', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.057093', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.119946', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.000678', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.105602', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.101818', 'age': '65+', 'gender': 'female'}, {'percentage': '0.121188', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.093574', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.071888', 'age': '65+', 'gender': 'male'}, {'percentage': '0.011972', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.00785', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000226', 'age': '18-24', 'gender': 'unknown'}]",['facebook'],['Public solar is now the cheapest electricity available to all of us in Michigan.'],['www.energizingmichiganseconomy.org'],['Find out more'],['Learn more about public solar farms'],Citizens Energizing Michigan's Economy,591566840920364,100000,124999,300,400,7,2022
4278,598971748258489,2022-07-15,999,https://www.facebook.com/ads/archive/render_ad/?id=598971748258489&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '0.000866', 'region': 'Indiana'}, {'percentage': '0.995828', 'region': 'Michigan'}, {'percentage': '0.003306', 'region': 'Ohio'}]","[{'percentage': '0.000235', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.07862', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.001252', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001252', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.122037', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.100289', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.055855', 'age': '65+', 'gender': 'male'}, {'percentage': '0.098099', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.117422', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.001486', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.084878', 'age': '65+', 'gender': 'female'}, {'percentage': '0.124932', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.078229', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.103888', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.016272', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.010639', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001486', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.003129', 'age': '35-44', 'gender': 'unknown'}]",['facebook'],['Public solar is now the cheapest electricity available to all of us in Michigan.'],['www.energizingmichiganseconomy.org'],['Find out more'],['Learn more about public solar farms'],Citizens Energizing Michigan's Economy,591566840920364,90000,99999,200,300,7,2022
4279,737313134219692,2022-07-15,999,https://www.facebook.com/ads/archive/render_ad/?id=737313134219692&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '1', 'region': 'Michigan'}]","[{'percentage': '0.00117', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.00117', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.013458', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.000585', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.093037', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.10474', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.095963', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.109421', 'age': '65+', 'gender': 'female'}, {'percentage': '0.068461', 'age': '65+', 'gender': 'male'}, {'percentage': '0.010532', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.114102', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.119368', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.102399', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.08543', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.076653', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.002341', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.00117', 'age': '25-34', 'gender': 'unknown'}]",['facebook'],['Public solar is now the cheapest electricity available to all of us in Michigan.'],['www.energizingmichiganseconomy.org'],['Find out more'],['Learn more about public solar farms'],Citizens Energizing Michigan's Economy,591566840920364,10000,14999,0,100,7,2022
4280,753929422548761,2022-07-15,999,https://www.facebook.com/ads/archive/render_ad/?id=753929422548761&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '2.3E-5', 'region': 'Florida'}, {'percentage': '0.000722', 'region': 'Indiana'}, {'percentage': '0.999255', 'region': 'Michigan'}]","[{'percentage': '0.090478', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.080401', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.001373', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001047', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.00128', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001443', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.016499', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.100065', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.130783', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.053244', 'age': '65+', 'gender': 'male'}, {'percentage': '0.133482', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.009564', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.002606', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.102183', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.081239', 'age': '65+', 'gender': 'female'}, {'percentage': '0.07975', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.114423', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.00014', 'age': '18-24', 'gender': 'unknown'}]",['facebook'],['Public solar is now the cheapest electricity available to all of us in Michigan.'],['www.energizingmichiganseconomy.org'],['Find out more'],['Learn more about public solar farms'],Citizens Energizing Michigan's Economy,591566840920364,250000,299999,700,800,7,2022
4281,767470491104225,2022-07-15,999,https://www.facebook.com/ads/archive/render_ad/?id=767470491104225&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '0.999945', 'region': 'Michigan'}, {'percentage': '5.5E-5', 'region': 'North Carolina'}]","[{'percentage': '0.001656', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.103008', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001282', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001977', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.016562', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.053321', 'age': '65+', 'gender': 'male'}, {'percentage': '0.114388', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.075333', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.11957', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000908', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.092322', 'age': '65+', 'gender': 'female'}, {'percentage': '0.073302', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.11909', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.118609', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.098306', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.001015', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.00919', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.00016', 'age': '18-24', 'gender': 'unknown'}]",['facebook'],['Public solar is now the cheapest electricity available to all of us in Michigan.'],['www.energizingmichiganseconomy.org'],['Find out more'],['Learn more about public solar farms'],Citizens Energizing Michigan's Economy,591566840920364,100000,124999,200,300,7,2022
4282,2240511519437780,2022-07-12,2022-08-02,https://www.facebook.com/ads/archive/render_ad/?id=2240511519437780&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '1', 'region': 'Michigan'}]","[{'percentage': '0.001075', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.085447', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.000752', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.001182', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.077279', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.118551', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.08577', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.095335', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.14166', 'age': '65+', 'gender': 'female'}, {'percentage': '0.00172', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.064381', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.092756', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.066316', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.092756', 'age': '65+', 'gender': 'male'}, {'percentage': '0.032459', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.040628', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.001505', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.00043', 'age': '18-24', 'gender': 'unknown'}]","['facebook', 'instagram']","[""Support conservative Kim LaSata's plan to protect the 2nd Ammendment""]",['www.energizingmichiganseconomy.org'],"[""Learn More about LaSata's plan""]","[""Back LaSata's Plan to Fight Inflation""]",Citizens Energizing Michigan's Economy,591566840920364,250000,299999,2000,2500,7,2022
4283,314832504103143,2022-07-12,2022-08-02,https://www.facebook.com/ads/archive/render_ad/?id=314832504103143&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '1', 'region': 'Michigan'}]","[{'percentage': '0.000279', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.097486', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.001397', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001955', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.077933', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.099721', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.113687', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.084358', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.037989', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001117', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.051955', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.115642', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.09162', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.073184', 'age': '65+', 'gender': 'male'}, {'percentage': '0.068715', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.081844', 'age': '65+', 'gender': 'female'}, {'percentage': '0.000838', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.000279', 'age': '25-34', 'gender': 'unknown'}]","['facebook', 'instagram']","[""Support conservative Greg VanWoerkom's plan to help farmers and create jobs""]",['www.energizingmichiganseconomy.org'],"[""Learn About VanWoerkom's Plan""]","[""Back VanWoerkom's Plan""]",Citizens Energizing Michigan's Economy,591566840920364,40000,44999,200,300,7,2022
4284,350508277245623,2022-07-12,2022-08-02,https://www.facebook.com/ads/archive/render_ad/?id=350508277245623&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '1', 'region': 'Michigan'}]","[{'percentage': '0.000228', 'age': '13-17', 'gender': 'male'}, {'percentage': '0.059146', 'age': '65+', 'gender': 'male'}, {'percentage': '0.000228', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.002284', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.00137', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000913', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.073761', 'age': '65+', 'gender': 'female'}, {'percentage': '0.076958', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.053894', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.099338', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.000228', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.076045', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.10733', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.108472', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.082211', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.104133', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.11578', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.035853', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.001827', 'age': '65+', 'gender': 'unknown'}]","['facebook', 'instagram']","[""Support conservative Greg VanWoerkom's plan to help farmers and create jobs""]",['www.energizingmichiganseconomy.org'],"[""Learn About VanWoerkom's Plan""]","[""Back VanWoerkom's Plan""]",Citizens Energizing Michigan's Economy,591566840920364,80000,89999,400,500,7,2022
4285,403074715129119,2022-07-12,2022-07-29,https://www.facebook.com/ads/archive/render_ad/?id=403074715129119&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '1', 'region': 'Michigan'}]","[{'percentage': '0.052632', 'age': '65+', 'gender': 'male'}, {'percentage': '0.093018', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.00043', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.002363', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000644', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.001074', 'age': '25-34', 'gender': 'unknown'}, {'percentage': '0.001289', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.084425', 'age': '65+', 'gender': 'female'}, {'percentage': '0.107411', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.093018', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.084211', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.098174', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.102256', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.069603', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.04812', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.119656', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.041031', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000644', 'age': '18-24', 'gender': 'unknown'}]","['facebook', 'instagram']","[""Back the badge and support conservative Brian BeGole's plan""]",['www.energizingmichiganseconomy.org'],"[""Learn More About BeGole's Plan""]","[""Fight Inflation: Support BeGole's plan""]",Citizens Energizing Michigan's Economy,591566840920364,100000,124999,700,800,7,2022
4286,426125789397796,2022-07-12,2022-08-02,https://www.facebook.com/ads/archive/render_ad/?id=426125789397796&access_token=EAAQ4pfUJjL4BAM58BqBtEPI7RVwMdJczpNuK1MwyZAvkY6J3UCGtoTMskwP74gUEVGeZBLbnAplZAf4CNcUG82yaxJRJCtxfYQIZAtZAwkyo4jujfbm4ZCUGQLP2hwgLZCnqA4OqDWaB0xUOkcUnu2ZBOlTDRECzgj4iJZCdLdr3kZAK1mjO7J0NHmgdZChxsFX0h6AcOcEB5aqzIIziyRGFClxVfV0YzM01epY5B8ybJeAUE1eY3MMsges,Citizens Energizing Michigan'S Economy,"[{'percentage': '1', 'region': 'Michigan'}]","[{'percentage': '0.000216', 'age': '13-17', 'gender': 'female'}, {'percentage': '0.044483', 'age': '65+', 'gender': 'female'}, {'percentage': '0.094148', 'age': '45-54', 'gender': 'female'}, {'percentage': '0.077953', 'age': '35-44', 'gender': 'male'}, {'percentage': '0.065429', 'age': '55-64', 'gender': 'female'}, {'percentage': '0.131289', 'age': '25-34', 'gender': 'male'}, {'percentage': '0.056359', 'age': '45-54', 'gender': 'male'}, {'percentage': '0.19499', 'age': '25-34', 'gender': 'female'}, {'percentage': '0.07277', 'age': '18-24', 'gender': 'female'}, {'percentage': '0.050961', 'age': '18-24', 'gender': 'male'}, {'percentage': '0.000432', 'age': '18-24', 'gender': 'unknown'}, {'percentage': '0.141654', 'age': '35-44', 'gender': 'female'}, {'percentage': '0.04038', 'age': '55-64', 'gender': 'male'}, {'percentage': '0.024401', 'age': '65+', 'gender': 'male'}, {'percentage': '0.00108', 'age': '45-54', 'gender': 'unknown'}, {'percentage': '0.00108', 'age': '35-44', 'gender': 'unknown'}, {'percentage': '0.000216', 'age': '55-64', 'gender': 'unknown'}, {'percentage': '0.000432', 'age': '65+', 'gender': 'unknown'}, {'percentage': '0.001727', 'age': '25-34', 'gender': 'unknown'}]","['facebook', 'instagram']","[""Support Democrat Ricardo White's plan to protect our democracy""]",['www.energizingmichiganseconomy.org'],"[""Learn More About White's Plan""]","[""Back White's Plan""]",Citizens Energizing Michigan's Economy,591566840920364,50000,59999,200,300,7,2022
