Name,Facebook Page ID,Url
Affordable Energy Coalition,106039214814684,https://www.energyandpolicy.org/affordable-energy-coalition/
Affordable Energy for New Jersey,102281724942742,NA
Alliance for Michigan Power,738063612887865,https://www.energyandpolicy.org/alliance-for-michigan-power/
Citizens for Energizing Michigan's Economy,591566840920364,https://www.energyandpolicy.org/citizens-for-energizing-michigans-economy/
Consumer Energy Alliance,49560242814,https://www.energyandpolicy.org/consumer-energy-alliance/
The Empowerment Alliance,101691091213750,NA
Energy Citizens,113891694102,NA
Natural Allies for a Clean Energy Future,100801038449520,https://www.energyandpolicy.org/natural-allies-for-a-clean-energy-future/
New Yorkers for Affordable Energy,111394533709201,NA
Partnership for Energy Progress,107500120800840,https://www.energyandpolicy.org/partnership-for-energy-progress/
Seniors Across America,108203188195224,NA
Voices for Cooperative Power,47710973068,NA
We Stand For Energy,482100658584410,NA
Jobkeeper Alliance,292970844058835,https://www.energyandpolicy.org/jobkeeper-alliance/
Power For Tomorrow,101242238726088,https://www.energyandpolicy.org/power-for-tomorrow/
Californians for Balanced Energy Solutions,341751646428117,https://www.energyandpolicy.org/californians-for-balanced-energy-solutions/
SC Clean Energy For All,396341921119746,NA
REAL Coalition Iowa,237209147160346,https://www.energyandpolicy.org/midamerican-and-anti-solar-real-coalition/
